run_id,scheduled_order,arm,status,seed,model,model_reasoning_effort,provider_mode,parser_correct,parser_status,strict_correct,contains_21,contains_516_text,final_integer_candidate,final_text_sha256,final_text_length,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_518n_minus_2,lattice_n,lattice_residual,wall_ms,ttft_ms,ttft_kind,first_json_event_ms,first_final_message_ms,tokens_per_second,prompt_sha256,agents_sha256,process_start_at,process_end_at
run-0001-control,1,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,508bdd50c115bbcf79e29f1e74ae802d51d422712f2de263b6cf640e3202e554,343,11379,9088,3917,3624,False,True,7,0,78444,17867,final_message,3712,17867,49.93371067258171,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.711548Z,2026-06-29T06:15:48.155618Z
run-0002-treatment,2,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,35,130b83ecdaf8e77bb92b5805e3f95250159f420817541a814d1711ba636f5145,573,11394,9088,920,516,True,True,1,0,26394,24183,final_message,3587,24183,34.85640675911192,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.712530Z,2026-06-29T06:14:56.107016Z
run-0003-treatment,3,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,1261fab6518c4605fa0fac21a8bae11c047a8631963a10c6d0a7cb46bc8b4e4d,179,11394,9088,7384,7250,False,True,14,0,145223,144917,final_message,2896,144917,50.84594038134455,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.713362Z,2026-06-29T06:16:54.936834Z
run-0004-control,4,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,27,a0987901e54023292fef774cb6186e272c92ef72158e76c9c0b5446af9702d2d,662,11379,9088,996,516,True,True,1,0,29998,28190,final_message,2141,28190,33.20221348089873,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.714194Z,2026-06-29T06:14:59.711924Z
run-0005-control,5,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,7e8027fa3686c694f5f9f914a229a080911c63840955b438f3a4ff8a65bd1019,687,11379,9088,996,516,True,True,1,0,27569,25274,final_message,1613,25274,36.12753454967536,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.715213Z,2026-06-29T06:14:57.283997Z
run-0006-treatment,6,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,492bbd512841af52481f9dc5fb90205819969eb01436f0093301d29f826569e9,265,11394,9088,708,516,True,True,1,0,23155,21288,final_message,2139,21288,30.576549341394944,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.716425Z,2026-06-29T06:14:52.871854Z
run-0007-control,7,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,22,2a76fdd235d4c7067dcaabef003354b671ff424a1a856d81195e156ce89c85b6,552,11379,9088,911,516,True,True,1,0,26162,24169,final_message,3471,24169,34.821496827459676,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.717751Z,2026-06-29T06:14:55.879542Z
run-0008-treatment,8,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,9f7e25767d5046dd5097b96de85bd3b5391060505e295c201d907a9f98adf773,277,11394,9088,1226,1034,False,True,2,0,31406,29770,final_message,2768,29770,39.037126663694835,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.719151Z,2026-06-29T06:15:01.125537Z
run-0009-treatment,9,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,5b5408eacaabd2b59a4f341ca3a87a1c6d67ce6c946435dfc6a9b949942cee45,201,11394,9088,658,516,True,True,1,0,18203,16536,final_message,441,16536,36.1478877108169,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:52.873245Z,2026-06-29T06:15:11.076290Z
run-0010-control,10,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,f95d36c3a4531ab1375ff0ad90a0b8d2878c3e8737b39941f1ef8bafa198e78c,354,11379,9088,8547,8286,False,True,16,0,159677,158009,final_message,441,158009,53.526807242120036,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:55.880679Z,2026-06-29T06:17:35.557721Z
run-0011-control,11,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,27,a309a4eddf8ff240fafac6205967b57833dd3bfa36295b7519230c39c0a44103,626,11379,9088,963,516,True,True,1,0,23315,21291,final_message,784,21291,41.30388162127385,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:56.108589Z,2026-06-29T06:15:19.423366Z
run-0012-treatment,12,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,e3df17ca90ed5f109e4cc79d92ea436d8b93fbba3bfaf50bf22a284b0fd5c164,348,11394,9088,1263,1034,False,True,2,0,39627,38051,final_message,592,38051,31.872208342796576,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:57.285348Z,2026-06-29T06:15:36.912728Z
run-0013-treatment,13,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,405cc6d37e49066cda4d6095b3ddffd314c941b6c1fc905871753219545fb3ee,244,11394,9088,2769,2588,False,True,5,0,56492,54821,final_message,750,54821,49.015789846349925,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:59.713307Z,2026-06-29T06:15:56.205707Z
run-0014-control,14,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,aefd5eeb59d0045704e0a6ecec9f450ad4c5c19ffaaf4d00d014bfee579ce4b8,779,11379,9088,1077,516,True,True,1,0,25011,23134,final_message,436,23134,43.06105313661989,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:15:01.126963Z,2026-06-29T06:15:26.137763Z
run-0015-control,15,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,ambiguous,False,True,False,4,76ea1e3488949b6f98f8f8de1413ba27a182efbc0880df7127411398c20f6a82,360,11379,9088,6537,6214,False,True,12,0,166663,16848,final_message,437,16848,39.22286290298386,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:15:11.077358Z,2026-06-29T06:17:57.739926Z
run-0016-treatment,16,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,35,d1e64d41c5fa9f583c4c9a453827c85fce29b07ce93bd66db937ba4e96b449ac,361,11394,11136,777,516,True,True,1,0,21211,19531,final_message,773,19531,36.63193625948801,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:15:19.425812Z,2026-06-29T06:15:40.636443Z
run-0017-control,17,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,35,319959ca46c0ab0d66ce70e96eb3b29420d59a5a38508b934787dde5d4c22a1b,343,11379,9088,745,516,True,True,1,0,18686,17000,final_message,405,17000,39.8694209568661,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:15:26.138878Z,2026-06-29T06:15:44.824917Z
run-0018-treatment,18,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,38893f1442b437ea52524373050c8c6f84bd4a2ffd32b35285ff89eb2bcc9092,327,11394,9088,751,516,True,True,1,0,19258,17637,final_message,362,17637,38.996780558728844,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:15:36.913903Z,2026-06-29T06:15:56.171863Z
run-0019-treatment,19,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,24,c2c96a492d643d6c509fb26e882a74084a6500f58be8df7a148416d1ef0e0c70,559,11394,9088,917,516,True,True,1,0,23903,22339,final_message,270,22339,38.36338534911936,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:15:40.637600Z,2026-06-29T06:16:04.540572Z
run-0020-control,20,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,04a5cc2320785cf93ed056557a4a2e4e92d768970db5a059d7b4b65e8a957257,278,11379,11136,713,516,True,True,1,0,18175,16633,final_message,437,16633,39.22971114167813,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:15:44.826592Z,2026-06-29T06:16:03.001636Z
run-0021-treatment,21,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,b21ec33b7547d16b4731f42eb1a4752db50f7acf4851a4f35f42eac2a150981b,244,11394,9088,1208,1034,False,True,2,0,27077,25225,final_message,332,25225,44.613509620711305,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:15:48.156727Z,2026-06-29T06:16:15.233831Z
run-0022-control,22,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,20ceb36c37bfc8accc2aa81593e1793b3c87c9963e6a54ce4e95a50e8a872055,311,11379,4480,745,516,True,True,1,0,19277,17520,final_message,534,17520,38.64709238989469,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:15:56.172946Z,2026-06-29T06:16:15.450354Z
run-0023-treatment,23,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,4aa968e75e26c2f43ac836ea420f5d415dece3688b83f73c88e20342fa74d77a,264,11394,11136,3821,3624,False,True,7,0,85995,85602,final_message,772,85602,44.43281586138729,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:15:56.206865Z,2026-06-29T06:17:22.201440Z
run-0024-control,24,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,2610f1634c8bd1008b4f887d498e1b5597a9e5a4bae3e9e49cd5103ec28b91db,504,11379,9088,847,516,True,True,1,0,20990,19243,final_message,531,19243,40.352548832777515,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:16:03.017998Z,2026-06-29T06:16:24.007622Z
run-0025-control,25,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,ambiguous,False,True,False,27,69ff138dd1123c07f719c7185bdf4977304aa75d79b98d0d68f3029fea4535f5,605,11379,9088,949,516,True,True,1,0,22352,20780,final_message,487,20780,42.45705082319255,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:16:04.541988Z,2026-06-29T06:16:26.893585Z
run-0026-treatment,26,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,33,548a500da7aadfbebd19a4e8c4a7a160907cfec259b112163654eb9c3ff6b91f,501,11394,11136,870,516,True,True,1,0,21890,20113,final_message,306,20113,39.74417542256738,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:16:15.234908Z,2026-06-29T06:16:37.124929Z
run-0027-treatment,27,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,770bb85b97f64c1d764b6629fb1c18c58022d8b0fb91408e0d5c4a4d811633f4,278,11394,9088,722,516,True,True,1,0,23562,22013,final_message,922,22013,30.642560054324758,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:16:15.453549Z,2026-06-29T06:16:39.015554Z
run-0028-control,28,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,31,9408bc57ceb0d7cfc2361929dc0264cb55f02ad2db8d80e29726de40171f84f8,539,11379,9088,909,516,True,True,1,0,21711,20065,final_message,541,20065,41.86817742158353,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:16:24.038848Z,2026-06-29T06:16:45.749856Z
run-0029-control,29,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,4065f873ed03faffd7a7b1f796f93f1353525c17b716f7eedb34a46ab6afc385,302,11379,9088,4888,4660,False,True,9,0,102397,102013,final_message,349,102013,47.73577350898952,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:16:26.895635Z,2026-06-29T06:18:09.292648Z
run-0030-treatment,30,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,c69075fb8d31fc2ee6351f15315fa919fb7e6dd1f4a93684e7f1faf7dd1e5893,205,11394,9088,670,516,True,True,1,0,17913,16234,final_message,329,16234,37.40300340534807,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:16:37.126050Z,2026-06-29T06:16:55.039111Z
run-0031-control,31,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,55ce7109a41d1ee76afb313f5cf510464ed7fac79ca7aef0564423e78df878c2,555,11379,9088,923,516,True,True,1,0,34086,32599,final_message,398,32599,27.078565980167813,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:16:39.016657Z,2026-06-29T06:17:13.102373Z
run-0032-treatment,32,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,7e3031f4e505dff21883c0c2907311d2a7a9e01af9df7f2fcc6089af0a516a54,227,11394,9088,671,516,True,True,1,0,17936,16006,final_message,409,16006,37.41079393398751,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:16:45.750985Z,2026-06-29T06:17:03.687356Z
run-0033-control,33,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,2149e802ef68354fe431f6c181cd545f73b20841d787a4878ceeef903a45cb03,293,11379,11136,722,516,True,True,1,0,20393,18891,final_message,834,18891,35.40430539891139,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:16:54.937945Z,2026-06-29T06:17:15.331123Z
run-0034-treatment,34,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,94ed73f452ec9ba59d7c39b76c1ee3399e717aa146f490825480306f5d3327c3,225,11394,9088,672,516,True,True,1,0,21399,19912,final_message,1127,19912,31.403336604514227,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:16:55.040666Z,2026-06-29T06:17:16.439213Z
run-0035-control,35,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,5eb838144cfca675e2ec4d0b28ee32ed38a3df7a3ac40be879321db610a1aa1c,530,11379,9088,881,516,True,True,1,0,27229,25724,final_message,341,25724,32.35520951926255,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:17:03.688430Z,2026-06-29T06:17:30.917908Z
run-0036-treatment,36,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,b970ac8b3f9c4923d7bbf6d0b8dace32fe4c3194c4fc61814670e0e501fb859d,295,11394,11136,2287,2070,False,True,4,0,55022,46437,final_message,384,46437,41.56519210497619,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:17:13.103594Z,2026-06-29T06:18:08.125481Z
run-0037-treatment,37,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,ambiguous,False,True,False,20,bf3e53cd687936ba3adaee42d2b0c4d87011cc5a3515d85895828b7689c5c167,250,11394,9088,3288,3106,False,True,6,0,84352,84012,final_message,437,84012,38.97951441578149,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:17:15.332241Z,2026-06-29T06:18:39.683828Z
run-0038-control,38,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,e05c53eac903646d4f0886a6a86f532dc4c25dfccdafc75e734942cdb7439b59,398,11379,9088,791,516,True,True,1,0,21587,19946,final_message,615,19946,36.64242368091907,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:17:16.441787Z,2026-06-29T06:17:38.028483Z
run-0039-control,39,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,36,104d2c7350822be23073480f4991967557e3a7c1a82343e36093717ca05574fa,524,11379,9088,890,516,True,True,1,0,24133,22419,final_message,284,22419,36.87896241660797,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:17:22.203010Z,2026-06-29T06:17:46.336403Z
